driver,season,circuits_sampled,driver_avg_corner_speed,driver_min_corner_speed,driver_corner_throttle,driver_corner_brake,driver_corner_rpm,driver_avg_straight_speed,driver_top_speed,driver_straight_throttle,driver_drs_usage
tsu,2021,20,170.0154131288097,36.4,52.271413610636515,17.302183032462352,9766.00465356339,165.78327411317997,344.0,54.19899097737109,100.0
ver,2021,21,171.9125536711054,28.285714285714285,48.58386051801041,21.868322789372996,9698.827618876261,165.51336680006796,344.0,49.89702018864483,100.0
vet,2021,21,169.76594355782169,27.904761904761905,48.75640667950107,19.596107309108824,9362.823560596353,164.17184652705697,347.0,50.148231198928336,100.0
alb,2022,21,168.5836213464792,40.19047619047619,47.03668948585654,21.166083236653904,9383.981243682489,164.1417579917431,351.0,48.07701501764432,100.0
alo,2022,22,171.81582745345938,32.81818181818182,50.68683568337962,20.459894900048525,9536.939433174623,165.59426007526997,347.0,52.71425388591929,100.0
bot,2022,21,171.71583015745892,34.142857142857146,50.68141453221982,22.175015188079186,9410.760499629692,167.2902542684669,348.0,51.92834888917133,100.0
dev,2022,1,211.0739402243998,61.0,56.75056249880124,20.023715319096752,9834.5146855765,204.66040602004233,346.0,58.18656406503352,100.0
gas,2022,21,171.46714318825866,33.95238095238095,52.732670809635074,17.280456511030998,9806.993796289062,166.6814983452293,349.0,53.02437756178448,100.0
ham,2022,22,175.88105092867116,31.227272727272727,54.53529336347656,20.62239208190765,9252.608392088154,169.0873024010563,349.0,56.217136945404036,100.0
hul,2022,2,176.06516890268122,45.0,44.156809724836435,27.97533884447406,9228.190043357408,170.65322545534192,326.0,46.533504868950466,100.0
lat,2022,22,168.4164723838605,31.90909090909091,50.98825897455228,21.445589544737487,9352.863821233552,166.81839139795682,349.0,52.06891850423854,100.0
lec,2022,22,170.16290207807745,30.863636363636363,52.6794994757111,21.472658375048407,9447.242794640435,163.7394173338158,346.0,55.094435878726294,100.0
mag,2022,22,170.77844277348026,32.04761904761905,52.66917923468699,20.518928190586834,9381.995830214946,158.95235987825052,352.0,56.31735729291968,100.0
msc,2022,21,169.4118275580988,31.80952380952381,50.165714608251,20.548071608809877,9396.222021314732,164.6067363807972,352.0,51.47254744055879,100.0
nor,2022,22,171.7091386164944,29.727272727272727,46.569306131360094,15.398738636181156,9845.071379862842,164.50907159659457,347.0,49.139850433592194,100.0
oco,2022,21,170.94738204594847,39.285714285714285,51.445363676633576,18.197910670496423,9380.132579898482,165.0224066283746,346.0,52.98453266642807,100.0
per,2022,22,172.72472021477608,29.095238095238095,49.39870198793499,19.404678884670336,9649.432969827429,158.88541182374686,345.0,52.64831077497795,100.0
ric,2022,22,171.59482828888005,32.90909090909091,47.19095235919661,13.641791052489593,9788.481740254829,165.20904486568304,347.0,48.9900604437717,100.0
rus,2022,22,173.7743095239775,34.45454545454545,52.05845068928211,17.522191205348573,9373.595967681042,166.30654673249134,346.0,54.22669459082703,100.0
sai,2022,22,169.7544652152308,29.363636363636363,50.38273622488099,19.410111560006808,9418.853647318183,162.71418051823863,348.0,52.456431312199854,100.0
str,2022,22,169.87112828872208,37.36363636363637,49.10745214483079,20.93077675737333,9448.649057736566,165.69868662819007,344.0,50.25897034044979,100.0
tsu,2022,22,169.61128395644934,33.04545454545455,51.78713389607275,16.001075947999823,9729.394713944015,164.1154344575554,348.0,51.37154735533859,100.0
ver,2022,22,170.59918046036566,26.772727272727273,49.07535434369372,21.16392392907377,9641.252960055615,165.3561296673696,350.0,50.10388724342419,100.0
vet,2022,20,167.87245797630237,26.55,50.47210862778035,21.17053346033492,9127.28248691648,163.924835336375,345.0,50.7430976866596,100.0
zho,2022,21,169.56532184192582,34.142857142857146,49.804028183155836,23.90057214448345,9200.773260368207,165.52329523789098,350.0,50.69490851843319,100.0
albon,2023,20,174.20343464140055,31.05,46.680488302580706,21.573388989565863,9397.215364647262,169.70149684945437,352.0,48.36547415917632,100.0
alonso,2023,20,166.87359628623835,21.3,47.152536921498594,19.93012197379134,8970.122592153506,162.60143267927612,349.0,50.42161282878813,100.0
bottas,2023,20,172.5449018068485,28.3,50.0373804789074,22.346548442842785,9301.19592178561,169.1175383554242,353.0,52.08302480333007,100.0
gasly,2023,20,172.9147895385707,27.3,50.33061520519318,17.650175410964906,9482.900154529472,167.99657409083835,353.0,52.159517106601754,100.0
hamilton,2023,20,172.1827200919298,24.95,49.6376709768022,19.961114178801466,8994.270603063576,166.408576356437,348.0,51.77998772506603,100.0
hulkenberg,2023,20,171.82595409498535,23.8,50.40369117841199,20.366349000167652,9256.373619229718,168.04370704206758,353.0,51.946258042993215,100.0
lawson,2023,5,182.89230583199952,32.0,58.08303975724292,12.1014046651595,9600.968890610613,175.92194473340396,351.0,54.07008237554828,100.0
leclerc,2023,20,170.76943720424237,28.55,51.2428959336656,21.362407817537402,9456.07039774517,164.0083095268527,352.0,52.521106958593336,100.0
magnussen,2023,20,171.59075743023007,28.3,49.90757585456937,21.6127613019909,9289.186006611042,167.6302810557484,353.0,51.80383308881409,100.0
norris,2023,20,170.92511929012093,24.1,43.85092072737795,16.086887687314054,9731.281964793325,165.30725622197954,348.0,46.51816514406811,100.0
ocon,2023,20,172.65452927308078,25.25,50.81209249351136,18.34111274002086,9310.915696394844,166.28743054344596,352.0,51.85423440690486,100.0
perez,2023,20,170.23470770344142,31.75,47.6826279940219,18.39494336324341,9357.730545539831,163.5583224869823,351.0,47.92603396745922,100.0
piastri,2023,20,168.2776756542734,23.7,44.50265427037355,16.962523772261356,9341.475739147063,164.56194775430606,349.0,47.08130105553981,100.0
ricciardo,2023,6,150.46036767969517,12.333333333333334,41.985814198294484,14.786626904400151,9055.039988149156,155.42208335225487,355.0,46.13303347105002,100.0
russell,2023,20,170.93846171550268,24.25,49.10251841313952,17.210634793429033,9245.78251067657,165.09795604427444,350.0,51.75010331843189,100.0
sainz,2023,20,171.0520125624008,23.65,49.766600753054135,20.548937894430082,9319.18521725938,163.845189557045,352.0,50.91964933743853,100.0
sargeant,2023,9,175.13690406560426,28.88888888888889,49.15931296405037,25.21883243079506,9156.395855191,170.72209208556313,341.0,51.76213623705023,100.0
