driver_avg_corner_speed,driver_min_corner_speed,driver_corner_throttle,driver_corner_brake,driver_corner_rpm,driver_avg_straight_speed,driver_top_speed,driver_straight_throttle,driver_drs_usage,driver,circuit_id,season
136.68152928735665,48.0,26.21262063183395,13.919256115627524,8276.840789827822,163.64386594398056,322.0,57.400173588657935,100.0,alonso,spielberg,2023
153.7574864708945,58.0,26.544050419812645,17.802174921924294,8678.995375783183,166.56466905473695,330.0,53.09154770580781,100.0,alonso,suzuka,2023
105.97857926267635,0.0,10.334712983662948,24.11035421332835,7561.280501662062,141.26731703607226,330.0,51.480637738321015,100.0,alonso,são_paulo,2023
121.64284136571797,34.0,45.234173358455415,3.8955407989999085,8596.774972893374,138.2816658586662,323.0,43.186101402659176,100.0,alonso,zandvoort,2023
144.5326038993593,34.0,28.889345293667628,14.975064215300067,8979.1434846234,159.2183785990657,320.0,54.80177266291861,100.0,bot,albert_park,2018
144.5326038993593,34.0,28.889345293667628,14.975064215300067,8979.1434846234,159.2183785990657,320.0,54.80177266291861,100.0,bot,albert_park,2019
141.77889412156017,27.0,30.97825755489756,13.063940316062606,8932.37837395451,161.90472297024388,321.0,55.660489126737886,100.0,bot,albert_park,2022
124.59872949196814,46.0,14.96301830914117,25.060019027497614,7942.423501894923,151.844512617444,324.0,52.72991442750452,100.0,bot,americas,2018
124.59872949196814,46.0,14.96301830914117,25.060019027497614,7942.423501894923,151.844512617444,324.0,52.72991442750452,100.0,bot,americas,2019
127.986787953945,45.0,16.753134092642775,29.31997300977646,8149.730392256548,153.3315592679175,324.5,54.26256394985201,100.0,bot,americas,2021
125.86465677008499,45.333333333333336,17.478384072519244,27.26008419209897,8335.156054809466,151.2829858628227,324.3333333333333,52.88631825588531,100.0,bot,americas,2022
130.27174703038492,51.0,19.305500549509045,31.600666878673895,8387.37704222888,160.10015188955848,326.0,53.03447908648377,100.0,bot,bahrain,2018
130.27174703038492,51.0,19.305500549509045,31.600666878673895,8387.37704222888,160.10015188955848,326.0,53.03447908648377,100.0,bot,bahrain,2019
130.06579793791846,50.0,21.977861955890308,26.317042990531966,8236.576319851303,163.64512571036187,325.0,56.40060755631022,100.0,bot,bahrain,2020
125.42250561286009,47.333333333333336,21.387445533711254,25.101879341743285,8131.649387172954,157.97105513833097,324.3333333333333,55.181180197637325,100.0,bot,bahrain,2021
123.67743856224355,46.25,20.009511433567532,26.218507675384462,8039.726886307698,156.33949988818304,322.25,55.01030004089734,100.0,bot,bahrain,2022
133.71143304174268,54.0,12.857371847120298,44.212680574425946,8610.220944531025,147.55320475914743,327.0,57.07733539041144,100.0,bot,catalunya,2018
133.71143304174268,54.0,12.857371847120298,44.212680574425946,8610.220944531025,147.55320475914743,327.0,57.07733539041144,100.0,bot,catalunya,2019
132.22567877109577,51.0,16.71332883530586,35.45610070086821,8544.426995862364,148.33548735624845,324.5,55.60243808437704,100.0,bot,catalunya,2020
130.20333949509003,37.333333333333336,15.106446394287367,36.35822304860053,8436.363352522409,145.11573332160387,323.6666666666667,54.28764284301621,100.0,bot,catalunya,2021
131.80681116357323,30.25,16.246153870884644,38.42376717993109,8487.917141797765,143.06395726560714,322.25,53.46938190797751,100.0,bot,catalunya,2022
132.6418005923001,52.0,26.99063087614401,18.322054713478913,8759.533711899969,157.3666671745347,325.0,55.204325473467726,100.0,bot,hockenheimring,2018
